实验室检验推荐
推荐检验：
1. 全血细胞计数（CBC）
   - 目的：评估有无贫血、白细胞及血小板异常，监测炎症或感染。
   - 预期结果：寻找贫血、白细胞减少/增多、血小板减少等自身免疫性疾病常见表现。
2. 尿常规
   - 目的：筛查肾脏受累（如蛋白尿、血尿），因系统性红斑狼疮（SLE）常累及肾脏。
   - 预期结果：蛋白尿、红细胞、管型等异常。
3. 抗核抗体（ANA）
   - 目的：自身免疫性疾病筛查，尤其是SLE。
   - 预期结果：阳性提示自身免疫性疾病可能。
4. 抗双链DNA抗体（anti-dsDNA）、抗Sm抗体
   - 目的：SLE特异性抗体检测，有助于确诊。
   - 预期结果：阳性高度提示SLE。
5. 补体C3、C4
   - 目的：监测免疫复合物活性，SLE活动期常见补体降低。
   - 预期结果：C3、C4降低。
6. 抗磷脂抗体（如抗心磷脂抗体、狼疮抗凝物）
   - 目的：评估有无抗磷脂综合征风险，SLE患者易合并。
   - 预期结果：阳性提示抗磷脂综合征风险。
7. 肝肾功能、电解质、乳酸脱氢酶（LDH）
   - 目的：评估脏器受累及全身状况。
   - 预期结果：肝肾功能异常、LDH升高等。
8. 炎症指标（C反应蛋白CRP、血沉ESR）
   - 目的：反映炎症活动度。
   - 预期结果：升高提示活动性炎症。
9. 免疫球蛋白及自身抗体谱（如ENA谱）
   - 目的：进一步明确自身免疫性疾病类型。
   - 预期结果：异常提示其他结缔组织病。
10. 心肌酶谱、心电图、胸部影像学（如X线或CT）
   - 目的：评估心肺受累情况。
   - 预期结果：心肌酶升高、心电图及影像学异常。

检验前注意事项：
- 检查前需空腹（如肝肾功能、电解质等）。
- 检查前避免剧烈运动、感染及近期用药影响结果。
- 采血时间建议上午，部分抗体检测需避开激素冲击治疗期。

以上检验项目根据当前指南及患者症状综合推荐，兼顾诊断效益与成本效益。
